序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2108,603337,杰克科技,44.69,-4.69,-2.2,27835.0,126759474.0,6.14,47.48,44.6,47.03,46.89,1.55,0.59,23.42,4.34,21291535635.0,21170792193.0,-0.11,0.04,0.56,3.14
2109,600676,交运股份,8.34,-4.69,-0.41,355523.0,299395867.0,5.94,8.75,8.23,8.69,8.75,1.05,3.46,-223.53,1.67,8577631153.0,8577631153.0,-0.12,-0.12,32.38,41.84
2110,600650,锦江在线,16.23,-4.7,-0.8,135536.0,222453504.0,3.88,16.82,16.16,16.7,17.03,1.75,3.47,73.62,2.09,8952632037.0,6338790017.0,0.0,0.12,4.17,6.78
2111,688660,电气风电,15.45,-4.75,-0.77,197586.0,309001768.0,5.86,16.38,15.43,16.38,16.22,2.25,1.48,-21.12,4.69,20600001030.0,20600001030.0,-0.06,-0.06,-24.08,-9.17
2112,603222,济民健康,9.0,-4.76,-0.45,222444.0,202511844.0,4.34,9.35,8.94,9.3,9.45,4.19,4.24,-45.94,3.38,4725815535.0,4725815535.0,-0.22,-0.11,-7.69,-1.42
2113,601116,三江购物,16.34,-4.78,-0.82,218993.0,366523907.0,6.29,17.39,16.31,17.1,17.16,1.08,4.0,58.62,2.78,8949065056.0,8949065056.0,-0.12,-0.37,21.04,18.66
2114,688206,概伦电子,38.77,-4.79,-1.95,54685.0,214212094.0,5.82,40.85,38.48,40.78,40.72,1.25,1.26,301.35,8.36,16871845361.0,16871845361.0,-0.26,-0.1,-4.65,11.31
2115,600114,东睦股份,34.39,-4.79,-1.73,185622.0,645175578.0,5.26,36.0,34.1,36.0,36.12,1.26,3.01,39.21,6.7,21713277774.0,21197427774.0,-0.15,-0.15,13.31,12.57
2116,688122,西部超导,89.73,-4.79,-4.51,200775.0,1823148155.0,5.85,94.69,89.18,94.69,94.24,1.44,3.09,67.3,8.43,58294395316.0,58294395316.0,-0.3,-0.02,6.25,20.31
2117,688710,益诺思,63.22,-4.79,-3.18,8203.0,53247171.0,7.41,67.8,62.88,66.81,66.4,1.2,0.9,-452.02,3.81,8912731260.0,5733672404.0,0.3,0.03,36.72,43.19
2118,688281,华秦科技,104.3,-4.82,-5.28,30844.0,333151276.0,9.72,113.65,103.0,110.0,109.58,1.5,1.13,87.75,6.1,28429121403.0,28429121403.0,0.03,0.19,44.74,41.33
2119,688216,气派科技,27.62,-4.82,-1.4,29656.0,82520396.0,6.82,29.17,27.19,28.71,29.02,1.3,2.79,-28.88,5.07,2952020214.0,2935613934.0,-0.11,0.07,14.37,23.97
2120,688237,超卓航科,52.55,-4.82,-2.66,14559.0,77669637.0,5.94,55.29,52.01,55.29,55.21,1.93,1.62,317.27,3.89,4712786578.0,4712786578.0,-0.38,-0.02,-9.37,7.79
2121,601399,国机重装,5.52,-4.83,-0.28,1664383.0,939197529.0,6.38,5.87,5.5,5.84,5.8,1.55,2.31,68.44,2.69,39818828513.0,39818828513.0,0.0,-0.18,52.07,15.48
