日期,收盘,涨跌幅,成交量,成交额,時価総額,営業利益率,配当利回り,EPS,开盘,最高,最低
2022-12-12,734.9144897460938,-0.6756800230970694,8600,6320264.611816406,17723883520.0,0.0,192.0,-7.63,,,
2022-12-13,726.9154052734375,-1.0884374419423803,8600,6251472.4853515625,17723883520.0,0.0,192.0,-7.63,,,
2022-12-14,715.9166870117188,-1.513067157736392,9800,7015983.532714844,17723883520.0,0.0,192.0,-7.63,,,
2022-12-15,718.9163208007812,0.4189920200887043,10600,7620513.000488281,17723883520.0,0.0,192.0,-7.63,,,
2022-12-16,729.9151000976562,1.5299109199000682,9300,6788210.430908203,17723883520.0,0.0,192.0,-7.63,,,
2022-12-19,728.9151611328125,-0.1369938729463116,1100,801806.6772460938,17723883520.0,0.0,192.0,-7.63,,,
2022-12-20,735.9143676757812,0.9602223847410718,21300,15674976.03149414,17723883520.0,0.0,192.0,-7.63,,,
2022-12-21,714.9168090820312,-2.8532611287459986,13100,9365410.19897461,17723883520.0,0.0,192.0,-7.63,,,
2022-12-22,694.9191284179688,-2.7972038718378944,1000,694919.1284179688,17723883520.0,0.0,192.0,-7.63,,,
2022-12-23,703.9180908203125,1.294965418901417,5000,3519590.4541015625,17723883520.0,0.0,192.0,-7.63,,,
2022-12-26,680.9207763671875,-3.2670440997368044,4300,2927959.3383789062,17723883520.0,0.0,192.0,-7.63,,,
2022-12-27,681.920654296875,0.146842035724326,18900,12888300.366210938,17723883520.0,0.0,192.0,-7.63,,,
2022-12-28,629.9266967773438,-7.62463450724219,37100,23370280.450439453,17723883520.0,0.0,192.0,-7.63,,,
2022-12-29,714.9168090820312,13.492063876557436,11800,8436018.347167969,17723883520.0,0.0,192.0,-7.63,,,
2022-12-30,735.9143676757812,2.937063211691915,19900,14644695.916748049,17723883520.0,0.0,192.0,-7.63,,,
2023-01-04,763.9111328125,3.804350936256373,31600,24139591.796875,17723883520.0,0.0,192.0,-7.63,,,
2023-01-05,761.911376953125,-0.2617785987765963,10900,8304834.0087890625,17723883520.0,0.0,192.0,-7.63,,,
2023-01-06,735.9143676757812,-3.412077843135186,4400,3238023.217773437,17723883520.0,0.0,192.0,-7.63,,,
2023-01-10,711.9171752929688,-3.2608674917711133,9400,6692021.447753906,17723883520.0,0.0,192.0,-7.63,,,
2023-01-11,749.9127807617188,5.33708228813472,8300,6224276.080322266,17723883520.0,0.0,192.0,-7.63,,,
2023-01-12,739.9139404296875,-1.333333767411593,3600,2663690.185546875,17723883520.0,0.0,192.0,-7.63,,,
2023-01-13,712.9169921875,-3.6486605761894,1500,1069375.48828125,17723883520.0,0.0,192.0,-7.63,,,
2023-01-16,732.9146728515625,2.805050361151018,8400,6156483.251953125,17723883520.0,0.0,192.0,-7.63,,,
2023-01-17,717.9164428710938,-2.046381459674551,4500,3230623.992919922,17723883520.0,0.0,192.0,-7.63,,,
2023-01-18,724.9156494140625,0.9749333104807524,3400,2464713.2080078125,17723883520.0,0.0,192.0,-7.63,,,
2023-01-19,724.9156494140625,0.0,0,0.0,17723883520.0,0.0,192.0,-7.63,,,
2023-01-20,739.9139404296875,2.0689705109481205,3600,2663690.185546875,17723883520.0,0.0,192.0,-7.63,,,
2023-01-23,739.9139404296875,0.0,3200,2367724.609375,17723883520.0,0.0,192.0,-7.63,,,
2023-01-24,739.9139404296875,0.0,2600,1923776.2451171875,17723883520.0,0.0,192.0,-7.63,,,
2023-01-25,749.9127807617188,1.3513517972407296,18400,13798395.166015623,17723883520.0,0.0,192.0,-7.63,,,
2023-01-26,770.9102783203125,2.7999919587002653,9900,7632011.755371094,17723883520.0,0.0,192.0,-7.63,,,
2023-01-27,779.9092407226562,1.1673164381659218,25200,19653712.866210938,17723883520.0,0.0,192.0,-7.63,,,
2023-01-30,787.9083251953125,1.0256429921569277,7500,5909312.438964844,17723883520.0,0.0,192.0,-7.63,,,
2023-01-31,827.9036865234375,5.07614401944676,43000,35599858.52050781,17723883520.0,0.0,192.0,-7.63,,,
2023-02-01,823.9041748046875,-0.4830890094891238,17100,14088761.389160156,17723883520.0,0.0,192.0,-7.63,,,
2023-02-02,814.9051513671875,-1.0922415145709463,4600,3748563.696289064,17723883520.0,0.0,192.0,-7.63,,,
2023-02-03,814.9051513671875,0.0,4100,3341111.1206054688,17723883520.0,0.0,192.0,-7.63,,,
2023-02-06,809.90576171875,-0.6134934403163261,5800,4697453.41796875,17723883520.0,0.0,192.0,-7.63,,,
2023-02-07,821.9044189453125,1.4814880685747325,1300,1068475.7446289062,17723883520.0,0.0,192.0,-7.63,,,
2023-02-08,820.9044799804688,-0.1216612226184299,2600,2134351.6479492188,17723883520.0,0.0,192.0,-7.63,,,
2023-02-09,814.9051513671875,-0.7308193291165832,4500,3667073.181152344,17723883520.0,0.0,192.0,-7.63,,,
2023-02-10,804.9063110351562,-1.2269943704805275,8900,7163666.168212891,17723883520.0,0.0,192.0,-7.63,,,
2023-02-13,801.90673828125,-0.3726611051227402,5000,4009533.69140625,17723883520.0,0.0,192.0,-7.63,,,
2023-02-14,795.9074096679688,-0.7481329594685504,3600,2865266.6748046875,17723883520.0,0.0,192.0,-7.63,,,
2023-02-15,811.9055786132812,2.010054027765173,50000,40595278.93066406,17723883520.0,0.0,192.0,-7.63,,,
2023-02-16,801.90673828125,-1.2315274824332478,3500,2806673.583984375,17723883520.0,0.0,192.0,-7.63,,,
2023-02-17,783.9088134765625,-2.244391267151957,2000,1567817.626953125,17723883520.0,0.0,192.0,-7.63,,,
2023-02-20,799.9069213867188,2.040812354080579,1100,879897.6135253906,17723883520.0,0.0,192.0,-7.63,,,
2023-02-21,799.9069213867188,0.0,500,399953.4606933594,17723883520.0,0.0,192.0,-7.63,,,
2023-02-22,809.90576171875,1.2500004768926545,5900,4778443.994140625,17723883520.0,0.0,192.0,-7.63,,,
2023-02-24,819.9046020507812,1.2345683664247709,2800,2295732.8857421875,17723883520.0,0.0,192.0,-7.63,,,
2023-02-27,809.90576171875,-1.219512649035226,200,161981.15234375,17723883520.0,0.0,192.0,-7.63,,,
2023-02-28,703.9180908203125,-13.086420162453791,244000,171756014.16015625,17723883520.0,0.0,192.0,-7.63,,,
2023-03-01,691.9194946289062,-1.7045443706985353,24400,16882835.668945312,17723883520.0,0.0,192.0,-7.63,,,
2023-03-02,669.9220581054688,-3.1791901650690235,12400,8307033.520507812,17723883520.0,0.0,192.0,-7.63,,,
2023-03-03,684.9202880859375,2.2388022306480737,3900,2671189.123535156,17723883520.0,0.0,192.0,-7.63,,,
2023-03-06,672.9217529296875,-1.7518148264786926,3900,2624394.836425781,17723883520.0,0.0,192.0,-7.63,,,
2023-03-07,698.9186401367188,3.8632853067758655,2500,1747296.6003417969,17723883520.0,0.0,192.0,-7.63,,,
2023-03-08,679.9208984375,-2.7181621161946,3400,2311731.0546875,17723883520.0,0.0,192.0,-7.63,,,
2023-03-09,668.9221801757812,-1.6176467419952043,12700,8495311.688232422,17723883520.0,0.0,192.0,-7.63,,,
2023-03-10,713.9169311523438,6.726455230523021,19200,13707205.078125,17723883520.0,0.0,192.0,-7.63,,,
2023-03-13,699.9185791015625,-1.96078163158091,13300,9308917.10205078,17723883520.0,0.0,192.0,-7.63,,,
2023-03-14,694.9191284179688,-0.714290323598954,2800,1945773.5595703125,17723883520.0,0.0,192.0,-7.63,,,
2023-03-15,699.9185791015625,0.7194291363047389,3100,2169747.595214844,17723883520.0,0.0,192.0,-7.63,,,
2023-03-16,699.9185791015625,0.0,901900,631256566.4916992,17723883520.0,0.0,192.0,-7.63,,,
