日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROE,配当利回り,EPS,开盘,最高,最低
2018-07-03,1165.1939697265625,1.0781756501753836,5700,6641605.627441406,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-04,1162.0865478515625,-0.2666870886509298,2100,2440381.750488281,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-05,1149.6578369140625,-1.069516806685178,2700,3104076.1596679688,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-06,1158.9794921875,0.8108199652218984,2700,3129244.62890625,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-09,1186.9442138671875,2.4128745908097,16800,19940662.79296875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-10,1221.123291015625,2.8795858094356808,12300,15019816.479492188,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-11,1224.23046875,0.2544524174779017,8400,10283535.9375,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-12,1245.98046875,1.7766262607569194,22500,28034560.546875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-13,1298.802734375,4.239413614403809,15600,20261322.65625,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-16,1298.802734375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-17,1315.8922119140625,1.3157870003473793,18000,23686059.814453125,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-18,1294.1419677734375,-1.6528894953324214,13800,17859159.155273438,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-19,1325.213623046875,2.400946422199413,19200,25444101.5625,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-20,1379.5894775390625,4.103176540486264,41400,57115004.37011719,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-23,1379.5894775390625,0.0,21000,28971379.028320312,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-24,1332.981689453125,-3.3783809491702788,26400,35190716.6015625,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-25,1242.87353515625,-6.759894378882514,30900,38404792.236328125,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-26,1261.5166015625,1.4999970535140683,7500,9461374.51171875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-27,1292.58837890625,2.4630494204566755,10800,13959954.4921875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-30,1292.58837890625,0.0,4800,6204424.21875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
